name,id,popularity,genres,followers
50 Cent,3q7HBObVc0L8jNeTe5Gofh,85,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",16202048
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,76,"['disco', 'funk', 'jazz funk', 'motown', 'soul']",4550936
Dave,6Ip8FS7vWT1uKkJSweANQK,78,['uk hip hop'],5586696
TV Girl,0Y6dVaC9DZtPNH4591M42W,84,['pov: indie'],8652566
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,68,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",3392077
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,68,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",3342444
Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,73,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",5962076
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,83,"['melodic rap', 'pluggnb', 'rap']",8154677
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,96,"['canadian contemporary r&b', 'canadian pop', 'pop']",95356565
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,80,"['album rock', 'british invasion', 'classic rock', 'rock']",14690088
Masayoshi Takanaka,2Ex4vjQ6mSh5woTlDWto6d,58,['classic japanese jazz'],412809
Nas,20qISvAhX20dpIbOOzGK3q,74,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",3975825
Logic,4xRYI6VqpkE3UwrDrAZL8L,75,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",6102039
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,89,"['lgbtq+ hip hop', 'neo soul']",16524846
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,82,"['electro', 'filter house', 'rock']",10290454
Alex G,6lcwlkAjBPSKnFBZjjZFJs,78,"['philly indie', 'pov: indie', 'slacker rock']",2630727
The Alchemist,0eVyjRhzZKke2KFYTcDkeu,73,"['alternative hip hop', 'drumless hip hop', 'hip hop', 'instrumental hip hop', 'west coast rap']",760379
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,81,"['memphis hip hop', 'rap']",8909222
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,82,"['dance pop', 'pop']",4920938
Young Thug,50co4Is1HCEo8bhOyUWKpn,86,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",10834072
Young Nudy,5yPzzu25VzEk8qrGTLIrE1,72,"['pluggnb', 'rap', 'southern hip hop', 'trap']",1551570
Meek Mill,20sxb77xiYeusSH8cVdatc,75,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",8019896
Pitbull,0TnOYISbd1XYRBk9myaseg,86,"['dance pop', 'miami hip hop', 'pop']",11018071
YBN Nahmir,3gGUMEwIX6XodWsYEvKSal,64,"['alabama rap', 'rap', 'trap']",3006600
Green Day,7oPftvlwr6VrsViSDV7fJY,83,"['modern rock', 'permanent wave', 'punk', 'rock']",15786168
Polo G,6AgTAQt8XS6jRWi4sX7w49,81,"['chicago rap', 'rap']",12052079
Quavo,0VRj0yCOv2FXJNP47XQnx5,81,"['atl hip hop', 'melodic rap', 'rap', 'trap']",7605375
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,81,"['reggae', 'roots reggae']",12839162
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,82,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",7194679
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,81,"['dance pop', 'pop', 'pop rap']",8573879
Ken Carson,3gBZUcNeVumkeeJ19CY2sX,82,['rage rap'],2316231
Post Malone,246dkjvS1zLTtiykXe5h60,91,"['dfw rap', 'melodic rap', 'pop', 'rap']",45915124
Hotel Ugly,35WVTyRnKAoaGExqgktVyb,77,['modern indie pop'],826269
LUCKI,5tQMB0cuNXdCtzovGt55uD,80,['plugg'],1326744
The Police,5NGO30tJxFlKixkPSgXcFE,78,"['album rock', 'classic rock', 'permanent wave', 'rock']",6568517
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,84,"['pluggnb', 'rage rap']",5496377
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,84,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",10962435
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,86,"['r&b', 'soul']",33600162
Famous Dex,0WOxhx4hikIsyF3CRPLC8W,57,"['chicago rap', 'drill', 'rap', 'trap']",2481009
Huncho Jack,6extd4B6hl8VTmnlhpl2bY,58,"['melodic rap', 'trap']",1198258
Chief Keef,15iVAtD3s3FsQR4w1v6M0P,78,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5306314
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,78,"['album rock', 'classic rock', 'mellow gold', 'rock']",7974070
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,86,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",28868089
AC/DC,711MCceyCBcFnzjGY4Q7Un,83,"['australian rock', 'hard rock', 'rock']",29940692
Thundercat,4frXpPxQQZwbCu3eTGnZEw,72,"['afrofuturism', 'indie soul']",1407758
d4vd,5y8tKLUfMvliMe8IKamR32,81,"['bedroom pop', 'bedroom r&b']",3185110
2Pac,1ZwdS5xdxEREPySFridCfh,82,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",19755305
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,73,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",4177820
